#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 172     1.550000    0.48844374E+03
 173     1.600000    0.49462572E+03
 174     1.650000    0.47443862E+03
 175     1.700000    0.42760889E+03
 176     1.750000    0.41896123E+03
 177     1.800000    0.43420163E+03
 178     1.850000    0.42916938E+03
 179     1.900000    0.40080993E+03
 180     1.950000    0.39809841E+03
 181     2.000000    0.38511961E+03
 182     2.050000    0.39630384E+03
 183     2.100000    0.37807067E+03
 184     2.150000    0.37371372E+03
 185     2.200000    0.36579377E+03
 186     2.250000    0.33522953E+03
 187     2.300000    0.35940552E+03
 188     2.350000    0.36409813E+03
 189     2.400000    0.33900351E+03
 190     2.450000    0.34548382E+03
 191     2.500000    0.31087045E+03
 192     2.550000    0.30993290E+03
 193     2.600000    0.27076357E+03
 194     2.650000    0.29338612E+03
 195     2.700000    0.26744769E+03
 196     2.750000    0.26335844E+03
 197     2.800000    0.23849905E+03
 198     2.850000    0.24853523E+03
 199     2.900000    0.23756460E+03
 200     2.950000    0.22545933E+03
 201     3.000000    0.21238597E+03
